Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Oregon Center for Public Policy,,16050229,6420 SW Macadam Avenue,Portland,OR,97239,Multnomah,93-1186075,"For operating support and technical assistance to provide budget, tax and economic analysis to organizations in order to expand opportunity for marginalized communities.",2017 ,"$15,000 ",two years,9712794732,SK010000 - Public Policy,,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,"PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,"OCPP's Mission:

Use research and analysis to advance policies and practices that improve the economic and social opportunities of all Oregonians.

OCPP's Core Values:

Economic justice. Economic justice is found in a progressive tax system and the equitable distribution of the economy's benefits.

Stand with the poor. Our solutions must benefit all Oregonians, but always with a special focus on the interests of low income Oregonians.

Good government works. Government can play a necessary and positive role, and we are vigilant and critical in pursuit of improved effectiveness and efficiency of our public structures.

How OCPP Works:

Credibility. Our effectiveness demands independence, rigor, and transparent reasoning.

Usefulness. Our work is timely, accessible, and relevant.

Cooperation. We work in concert with others to share information, build consensus, and achieve results.

Involvement. In all decisions we are considerate of those who are affected by our work."
Oregon Center for Public Policy,,16050229,6420 SW Macadam Avenue,Portland,OR,97239,Multnomah,93-1186075,"For operating support and technical assistance to provide budget, tax and economic analysis to organizations in order to expand opportunity for marginalized communities",2017 ,"$100,000 ",two years,9712794732,SK010000 - Public Policy,,,UA0000 - General Support,Operating Support,,,,,7007708,"PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,"OCPP's Mission:

Use research and analysis to advance policies and practices that improve the economic and social opportunities of all Oregonians.

OCPP's Core Values:

Economic justice. Economic justice is found in a progressive tax system and the equitable distribution of the economy's benefits.

Stand with the poor. Our solutions must benefit all Oregonians, but always with a special focus on the interests of low income Oregonians.

Good government works. Government can play a necessary and positive role, and we are vigilant and critical in pursuit of improved effectiveness and efficiency of our public structures.

How OCPP Works:

Credibility. Our effectiveness demands independence, rigor, and transparent reasoning.

Usefulness. Our work is timely, accessible, and relevant.

Cooperation. We work in concert with others to share information, build consensus, and achieve results.

Involvement. In all decisions we are considerate of those who are affected by our work."
Oregon Health and Science University Foundation,,16120933,"1121 SW Salmon St, Ste 100",Portland,OR,97205,Multnomah,23-7083114,To build the capacity of small organizations serving marginalized communities to conduct evaluations of their own services,2017 ,"$147,178 ",two years,5032281730,SE040200 - Community Health Care,,,UM0200 - Program Evaluations,Project Support,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,"2085131, 7014024, 7007708, 2085289, 2084985, 2084413, 7014122","PE000000, PC010000, PG050000, PH010400",TA00 - Cash Grants,Grant,,Building Community,"The OHSU Foundation exists to secure private philanthropic support to advance Oregon Health & Science University's vital missions, and to invest and manage gifts responsibly to honor donors' wishes."
Oregon Health Authority,,16120953,"421 SW Oak, Suite 750",Portland,OR,97204,Multnomah,27-3327978,"To support the Developing Equity Leadership Through Training and Action (DELTA) program, which brings together agencies and organizations committed to advancing health equity and diversity throughout Oregon",2017 ,"$49,500 ",one year,9716733359,SE130000 - Public Health,SK020000 - Leadership Development,,UJ0000 - Network Building And Collaboration,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE000000, PG030200, PG010000, PG010400, PE060300, PC010000, PH010000",TA00 - Cash Grants,Grant,,Building Community,"We work with diverse communities to eliminate health gaps and promote optimal health in Oregon. By connecting people and programs, we can make substantial, measurable progress in improving all Oregonians' health."
Oregon Justice Resource Center,,16050240,PO Box 5248,Portland,OR,97208,Multnomah,45-2859659,"For operating support of this organization working to effectively re-integrate people into their communities after leaving the criminal justice system, and to improve legal representation for the underserved across Oregon",2017 ,"$150,000 ",two years,5035633351,SJ040000 - Legal Services,,,UA0000 - General Support,Operating Support,,,,,7007708,"PE000000, PG030200",TA00 - Cash Grants,Grant,,Building Community,The mission of the Oregon Justice Resource Center is to dismantle systemic discrimination in the administration of justice by promoting civil rights and enhancing the quality of legal representation for underserved communities.
Oregon Latino Health Coalition,,16050295,"240 N Broadway, Suite 115",Portland,OR,97227,Multnomah,26-1530127,"To support this agency's efforts to advance health equity for Latinos across Oregon through policy advocacy, leadership development and new direct services programming",2017 ,"$150,000 ",two years,9714094703,SE030000 - Health Care Administration And Financing,,,UA0000 - General Support,Operating Support,,,,,7007708,PE050000,TA00 - Cash Grants,Grant,,Building Community,Dedicated to eliminating health disparities affecting Oregon Latinas and Latinos through collaboration and advocacy.
Oregon Opportunity Network,Housing Oregon,17031287,"1207 SW Broadway, Suite 400",Portland,OR,97205,Multnomah,93-1174536,For Welcome Home Coalition's participation in Meyer's Leadership Development Learning Collaborative,2017 ,"$10,000 ",one year,5032234041,SK020000 - Leadership Development,,,UJ0000 - Network Building And Collaboration,Project Support,UJ0100 - Convening,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7007708,PG030200,TA00 - Cash Grants,Grant,,Building Community,"Oregon Opportunity Network's mission is to support and strengthen our members through advocacy, communications, peer learning, and best practice development."
Oregon Public Health Institute,,16050351,411 NE 19th Avenue,Portland,OR,97232,Multnomah,93-1259522,"For operating support to engage community health workers across the state to advance the effective integration and utilization of the Community Health Worker workforce, a culturally appropriate health care strategy that reduces health disparities for underserved populations",2017 ,"$129,000 ",one year,8004456744,SE040200 - Community Health Care,,,UA0000 - General Support,Operating Support,,,,,7007708,"PG030200, PH010000, PE000000",TA00 - Cash Grants,Grant,,Building Community,"OPHI's mission is to improve health, advance equity and reduce disparities.

To achieve our mission as a Public Health Institute, we: 
- Work with private and public partners to create innovative and sustainable community-led solutions.
- Believe that long-lasting, meaningful change is possible here in Oregon.
- Advocate use for strategies that advance equity and reduce disparities, whether leading or supporting the work of others.
- Look upstream, downstream, and midstream to identify solutions that go beyond existing healthcare strategies."
Oregon Tradeswomen,,16050479,"3934 NE Martin Luther King Jr. Boulevard, Suite 101",Portland,OR,97212,Multnomah,31-1655001,"To expand the Pathways to Success program, which provides pre-apprenticeship training and support to diverse women entering trades careers in the Portland metropolitan region",2017 ,"$100,000 ",one year,5033358200,SN020300 - Employment,,,UN0000 - Program Development,Project Support,UA0000 - General Support,Operating Support,,,"1002270, 1002994, 1002699","PG040200, PJ070000, PA030000, PG030000",TA00 - Cash Grants,Grant,,Building Community,"Oregon Tradeswomen, Inc. is dedicated to promoting success for women in the trades through education, leadership and mentorship."
Partners for a Hunger-Free Oregon,,16120923,712 SE Hawthorne Blvd. - Ste 202,Portland,OR,97214,Multnomah,20-4970868,To strengthen the Hunger-Free Leadership Institute,2017 ,"$85,000 ",one year,5035955501,SK020000 - Leadership Development,SM020000 - Food Security,,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,UE0500 - Volunteer Development,Capacity Building,,,"2001718, 1002636, 1002699, 1002994, 2001701, 1002270, 2001717",PG030200,TA00 - Cash Grants,Grant,,Building Community,"We envision an Oregon where everyone is healthy and thriving, with access to affordable, nutritious and culturally appropriate food. To bring that vision into reality, we raise awareness about hunger, connect people to nutrition programs, and advocate for systemic changes that end hunger before it begins."
Partnership for Safety and Justice,,16050541,825 NE 20th Ave #250,Portland,OR,97232,Multnomah,93-1277774,For operating support of an agency that promotes equity for people impacted by crime and the criminal justice system,2017 ,"$150,000 ",two years,5033358449,SJ010000 - Crime Prevention,SJ000000 - Public Safety,,UA0000 - General Support,Operating Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PG030200, PG040200, PG060100",TA00 - Cash Grants,Grant,,Building Community,"Partnership for Safety and Justice advances solutions to crime that ensure justice, equity, accountability, and healing to achieve safe and strong communities."
PassinArt: A Theatre Company,,16050226,P.O. Box 6407,Portland,OR,97228,Multnomah,93-0832550,"To support the a series of community-building events that address causes and consequences of youth violence through a theatrical production of ""The Gospel of Loving Kindness,"" by Marcus Gardley, an art exhibit by artist James Pate, ""KKK-Kin Killing Kin,"" and a series of four community forums",2017 ,"$40,000 ",one year,5032358079,SA060200 - Theater,,,UP0100 - Performances,Project Support,,,,,"1002699, 1002994, 1002270",PE030100,TA00 - Cash Grants,Grant,,Building Community,"PassinArt is an African-American producing theater company whose mission is to entertain, educate and inspire artists and audiences while addressing critical issues facing our community; and provide greater access to low-income youth and adults to experience professional live theater."
People's Action Institute,Main Street Alliance of Oregon,17021233,2420 NE Sandy Blvd Suite 128,Portland,OR,97201,Multnomah,36-2755109,To engage and support small business owners of color around public policy,2017 ,"$23,000 ",one year,5033090787,SN020000 - Economic Development,SN060000 - Business And Industry,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,"1002994, 1002636, 1002599, 1002276, 2001716","PE000000, PG010000",TA00 - Cash Grants,Grant,,Building Community,"MSA OR's mission is to elevate the voices of small-business owners on important public policy issues in Oregon. We are committed to bringing business owners to the table to engage in and develop policies that reflect the interconnected nature of small businesses and the communities they serve. Our advocacy promotes vibrant businesses and healthy communities, and fosters leadership development of socially responsible business leaders."
PHAME Academy,,16050297,"1631 NE Broadway, #134",Portland,OR,97232,Multnomah,93-0991167,"To expand arts programming for Portland area adults with intellectual and developmental disabilities, and to create tools that help organizations be more inclusive of people living with disabilities",2017 ,"$100,000 ",two years,5037649718,SA060000 - Performing Arts,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002994, 1002699, 1002270, 1003044",PH010000,TA00 - Cash Grants,Grant,,Building Community,"PHAME inspires individuals with developmental disabilities to lead full, creative lives through arts education and performance."
Portland Community College Foundation,,16120956,PO Box 19000,Portland,OR,97280,Multnomah,93-0811291,For a new Servant Leadership Collaborative at PCC’s Rock Creek Campus that leverages multiple leadership programs in the college system to support student leaders of color,2017 ,"$85,000 ",one year,9717224382,SK020000 - Leadership Development,SB050100 - Community College Education,SS050303 - Youth Peer Mentoring,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,1002994,"PG010000, PG030200, PA010400, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Mission
The PCC Foundation's mission is to enrich lives and strengthen our region through support of education at PCC. We believe all students in our region deserve to have access to an excellent education at PCC and the support needed to succeed, regardless of their ability to pay."
Portland Jobs with Justice Education Fund,,16050230,1500 NE Irving St,Portland,OR,97232,Multnomah,26-0901792,"For technical assistance for this agency that works to create alliance with diverse groups to advance economic justice at the intersection of workers' rights, racial justice and gender justice",2017 ,"$25,000 ",one year,9712428705,SR020500 - Labor Rights,,,UD0100 - Technical Assistance,Capacity Building,,,,,7014273,"PE000000, PG030200, PC010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of Portland Jobs with Justice to build innovative, powerful, creative, and inspiring campaigns, coalitions and alliances with unions, worker organizations, students, faith institutions and community organizations to win economic justice at the intersection of workers rights, racial justice, and gender justice."
Portland Jobs with Justice Education Fund,,16050230,1500 NE Irving St,Portland,OR,97232,Multnomah,26-0901792,"For operating support for this agency that works to create alliance with diverse groups to advance economic justice at the intersection of workers' rights, racial justice and gender justice",2017 ,"$60,000 ",one year,9712428705,SR020500 - Labor Rights,,,UA0000 - General Support,Operating Support,,,,,7014273,"PE000000, PG030200, PC010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of Portland Jobs with Justice to build innovative, powerful, creative, and inspiring campaigns, coalitions and alliances with unions, worker organizations, students, faith institutions and community organizations to win economic justice at the intersection of workers rights, racial justice, and gender justice."
Portland State University Foundation,,16120927,PO Box 243,Portland,OR,97207,Multnomah,93-0619733,To build the capacity of Oregon nonprofits to understand and use equity-related data and co-produce data literacy curricula and training tools that are responsive to diverse needs,2017 ,"$133,604 ",two years,5037254478,SD030000 - Nonprofits,SR050000 - Diversity And Intergroup Relations,,UM0200 - Program Evaluations,Project Support,UM0400 - Data And Measurement Systems,Project Support,UD0000 - Capacity Building And Technical Assistance,Capacity Building,"1002794, 1002994, 7014273, 1002270, 1002636, 1002699","PE000000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The PSU Foundation's mission is to support Portland State University's mission to become a top urban-serving research university.

Portland State University's Mission and Vision:

VISION
Portland State University leads the way to an equitable and sustainable future through academic excellence, urban engagement, and expanding opportunity for all.

MISSION
- We serve and sustain a vibrant urban region through our creativity, collective knowledge and expertise.
- We are dedicated to collaborative learning, innovative research, sustainability and community engagement.
- We educate a diverse community of lifelong learners.
- Our research and teaching have global impact.

VALUES
- We promote access, inclusion and equity as pillars of excellence.
- We commit to curiosity, collaboration, stewardship and sustainability.
- We strive for excellence and innovation that solves problems.
- We believe everyone should be treated with integrity and respect.

REPUTATION
Portland State University pursues excellence through: Accessibility; innovation; collaboration; engagement; sustainability; transformation.

POSITION
- An anchor institution, providing the Portland region with a highly educated population, substantial economic impact, and distinctive contributions to its culture.
- Contributing unique scholarship and research that support quality of life through problem solving.
- Delivering on our access mission, contributing to a highly educated and diverse community."
Red Lodge Transition Services,,16050363,P.O. Box 55157,Portland,OR,97238,Multnomah,20-8341064,For technical assistance to support capacity development in fiscal oversight,2017 ,"$15,000 ",one year,5032454175,SJ050500 - Offender Re Entry,SS070100 - Supportive Housing,,UD0100 - Technical Assistance,Capacity Building,,,,,"2662825, 7007708, 2085677, 7023817","PE060300, PA030000, PG040200",TA00 - Cash Grants,Grant,,Building Community,"To prevent incarceration and reduce recidivism primarily among Native American women and men.  To provide assistance for individuals released from jails and prisons, who are working on creating a better life for themselves, their children, and communities. To prevent and reduce incarceration by breaking the cycle of chemical addiction, violence, abuse, hatred, hopelessness and neglect."
Red Lodge Transition Services,,16050363,P.O. Box 55157,Portland,OR,97238,Multnomah,20-8341064,To launch the first Native American Transition House for Native women in Clackamas County,2017 ,"$90,000 ",three years,5032454175,SS070100 - Supportive Housing,SJ050500 - Offender Re Entry,,UN0000 - Program Development,Project Support,,,,,"7007708, 7023817, 2085677, 2662825","PE060300, PA030000, PG040200",TA00 - Cash Grants,Grant,,Building Community,"To prevent incarceration and reduce recidivism primarily among Native American women and men.  To provide assistance for individuals released from jails and prisons, who are working on creating a better life for themselves, their children, and communities. To prevent and reduce incarceration by breaking the cycle of chemical addiction, violence, abuse, hatred, hopelessness and neglect."
Refugee Disability Benefits Oregon,,17021216,1020 SW Taylor,Portland,OR,97205,Multnomah,81-1735941,For strategic planning and executive coaching,2017 ,"$16,050 ",one year,9712700755,SS090300 - Immigrant Services,,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,"PH010000, PG010000",TA00 - Cash Grants,Grant,,Building Community,"** Please note that effective May 1, 2018, we have changed our name (same EIN, address and phone) to Refugee & Immigrant Service and Empowerment (RISE).


RISE is the only non-profit in the Pacific Northwest dedicated to promoting justice and equity for refugees and immigrants with disabilities, through legal representation, advocacy, and education."
Rural Development Initiatives,,16120925,"150 Shelton-McMurphey Blvd, Suite 201",Eugene,OR,97401,Lane,93-1073746,"To pilot three diversity, equity and inclusion related leadership development initiatives focused on rural communities",2017 ,"$85,000 ",one year,5416849077,SN020200 - Rural Development,SK020000 - Leadership Development,,UN0100 - Pilot Programs,Project Support,UK0100 - Advocacy,Project Support,,,7007708,"PG010000, PE060300, PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,"RDI strengthens rural people, places, and economies in the Pacific Northwest."
Rural Organizing Project,,16050423,PO Box 664,Cottage Grove,OR,97424,Columbia,93-1159856,"To expand community organizing in rural Oregon through grassroots efforts based on equity, collaboration and intersectionality",2017 ,"$150,000 ",three years,5035438417,SR000000 - Human Rights,SN000000 - Community And Economic Development,SK040100 - Civic Participation,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"7013349, 2001722, 2001713, 2001703, 2001709, 2001708","PE000000, PE060300, PC010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"The Rural Organizing Project exists to strengthen the skills, resources, and vision of primary leadership in local, autonomous human dignity groups with the goal of keeping such groups on a vibrant course for a just democracy."
Salem-Keizer Coalition for Equality,,16120968,PO Box 4296,Salem,OR,97302,Marion,65-1203900,"To organize, train and empower Latino Spanish-speaking parent leaders on social justice in education and civic representation",2017 ,"$85,000 ",one year,5033638130,SK020000 - Leadership Development,SK040100 - Civic Participation,,UN0500 - Curriculum Development,Project Support,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,"1002794, 1002636","PG030200, PD020000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"NEW MISSION STATEMENT
We Advocate for Equity, Education and Empowerment by providing education and leadership opportunities to English language learners and under-served families of color.

We promote mutual accountability between community, schools, parents and students."
"Self Enhancement, Inc.",,16120958,3920 N Kerby,Portland,OR,97227,Multnomah,93-1086629,"To support the African American Leadership Academy, which supports a strong leadership pipeline to advance the interests of the Black community and improve racial equity",2017 ,"$47,500 ",one year,5032491721,SK020000 - Leadership Development,,,UE0400 - Management And Leadership Development,Capacity Building,,,,,7014273,"PE030100, PG030200",TA00 - Cash Grants,Grant,,Building Community,"Self Enhancement, Inc. is dedicated to guiding underserved youth to realize their full potential. Working with schools, families and community organizations, SEI provides opportunities for personal and academic success, bringing hope to individual young people and enhancing the quality of community life."
"Self Enhancement, Inc.",,16060762,3920 N Kerby,Portland,OR,97227,Multnomah,93-1086629,To support the PAALF Leadership Academy,2017 ,"$68,750 ",one year,5032491721,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,,PE030100,TA00 - Cash Grants,Grant,,Building Community,"Self Enhancement, Inc. is dedicated to guiding underserved youth to realize their full potential. Working with schools, families and community organizations, SEI provides opportunities for personal and academic success, bringing hope to individual young people and enhancing the quality of community life."
Social Justice Fund Northwest,,16120975,1904 3rd Ave Ste 806,Seattle,WA,98101,,91-1036971,"For the Portland Giving Project, a leadership development program focused on social justice philanthropy",2017 ,"$85,000 ",one year,2066244081102,SK020000 - Leadership Development,SR030000 - Justice Rights,SD000000 - Philanthropy,UN0300 - Program Expansion,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,1002699,PE000000,TA00 - Cash Grants,Grant,,Building Community,"Social Justice Fund Northwest is a foundation working at the frontlines of social change. We leverage the resources of our members to foster significant, long-term social justice solutions throughout Washington, Oregon, Idaho, Montana and Wyoming."
State Voices,,16050330,"1625 Massachusetts Ave, NW, Suite 308",Washington,DC,20036,,20-1115618,"To support operations at this agency that works to nurture nonpartisan civic engagement in Oregon, providing leadership, resources and training to local community organizations serving under-represented constituencies",2017 ,"$140,000 ",two years,3139654000,SK040100 - Civic Participation,,,UA0000 - General Support,Operating Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PA030000, PG010000, PE000000, PC010000",TA00 - Cash Grants,Grant,,Building Community,"State Voices is an innovative national network - built from the states up - that helps grassroots organizations win shared policy and civic engagement victories and build long-term power.  State Voices brings together over 600 diverse and talented organizations in key states and communities, and provides them with cutting-edge technology and experimentation, rigorous planning and evaluation, issue and strategic expertise, and national support to build capacity and win victories for change."
The Confederated Tribes of the Umatilla Indian Reservation,,16050208,46411 Timine Way,Pendleton,OR,97801,Umatilla,93-0624734,"To support a project to digitally preserve stories told by tribal elders and recording by tribal members and linguists in four Northwest Native languages — Cayuse, Umatilla, Walla Walla and English — to help preserve the cultures of these communities",2017 ,"$50,000 ",one year,5412763165,SA040000 - Cultural Awareness,SA090000 - Historical Activities,,UF1000 - Collections Management And Preservation,Capital Support,UN0000 - Program Development,Project Support,,,"2001720, 2085677",PE060300,TA00 - Cash Grants,Grant,,Building Community,"The mission statement of the Confederated Tribes of the Umatilla Indian Reservation is to exercise the
Tribe's sovereign authority to achieve the maximum protection of resources identified in the treaty of
1855, to protect newly acquired lands wherein the Tribe has a vested interest, to protect the lands
of all the citizens and residents of the Umatilla lndian. This position will protect human life, water, land,
air, and wildlife by exercising professional skills and abilities in the protection of the resources of the
Confederated Tribes of the Umatilla Indian Reservation."
United Community Action Network,,16050275,280 Kenneth Ford Drive,Roseburg,OR,97470,Douglas,93-0587136,To support this backbone human service agency's efforts to develop effective service strategies for underserved people of color and members of the LGBT community in Douglas and Josephine counties,2017 ,"$32,000 ",two years,5416723421,SS000000 - Human Services,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"2001706, 2001713","PC010000, PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Mission Statement:  UCAN...Creating solutions to poverty.  Improving lives in our community.

Founded in 1969, United Community Action Network's (UCAN) goal is to provide opportunities for people currently in need in Douglas and Josephine counties, Oregon, so that they can move toward personal and economic independence. UCAN serves as a backbone for the human service system in our two county region, providing a wide array of services under its umbrella, including: early childhood education, family strengthening through case management and parent education; early childhood developmental and health screening and healthcare; food and nutrition education to families participating in early childhood programming; housing related services including affordable housing, rental, utility and move-in assistance, mortgage assistance, energy assistance and weatherization, and supportive services for residents of affordable housing projects; transportation assistance, including public transit, medicaid transportation and transportation for Head Start/Early Head Start families; health insurance enrollment support and education; food systems, including emergency food provision to pantries and kitchens, operation of pantries, and operation of a community garden; national service programming, including operation of AmeriCorps, Senior Companions, Retired Seniors Volunteer Program, and Foster Grandparents. UCAN has a ""no wrong door"" approach to service delivery, ensuring that a person who seeks services is linked with the appropriate program or agency providing the service in the community. Our co-located, comprehensive service system reflects best practices in providing services, and allows us to minimize the percentage of funds needed for administrative costs. UCAN provides services to approximately one-third of those living in Douglas and Josephine counties."
Verde,,16120963,"6899 NE Columbia Blvd, Suite A",Portland,OR,97218,Multnomah,20-3685723,To expand the Lideres Verdes (Green Leaders) program to reach new and more diverse communities living in the broader Portland Metropolitan area,2017 ,"$41,000 ",one year,5032908570,SK020000 - Leadership Development,SC000000 - Environment,,UN0300 - Program Expansion,Project Support,UK0100 - Advocacy,Project Support,,,"1002994, 1002270, 1002699, 7014273","PG010000, PG030200, PE000000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"Verde serves communities by building environmental wealth through social enterprise, outreach and advocacy"
Vision Action Network,,16120909,"3700 SW Murray Blvd, Suite 190",Beaverton,OR,97005,Washington,93-1317190,"To advance and evaluate the effectiveness of equity in the Washington County Nonprofit Network’s organization, programs and services",2017 ,"$150,000 ",two years,5038465792,SK040100 - Civic Participation,,,UM0300 - Institutional Evaluations,Project Support,UE0100 - Faculty And Staff Development,Capacity Building,,,1002994,PA000000,TA00 - Cash Grants,Grant,,Building Community,VAN is a convener and facilitator that engages stakeholders across sectors to identify and collaboratively address critical issues in Washington County.
Wallowa Band Nez Perce Trail Interpretive Center,,16050289,PO Box 15,Wallowa,OR,97885,Wallowa,93-1192718,For technical assistance to strengthen the Center's capacity to support partnership between the Nez Perce and people of adjoining communities,2017 ,"$15,000 ",one year,5418863101,SA040000 - Cultural Awareness,,,UD0100 - Technical Assistance,Capacity Building,,,,,"2001722, 7023817, 7007708","PE060300, PG030000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Wallowa Band Nez Perce Trail Interpretive Center, Inc is to secure, develop and manage property in the Wallowa Valley to enrich relationships between Nez Perce descendants and contemporary inhabitants; to create a physical place to preserve and celebrate the customs and culture of the Nez Perce; to assemble and share understanding of the Wallowa Band Nez Perce history; and to tell the story of the Nez Perce Trail."
Wallowa Band Nez Perce Trail Interpretive Center,,16050289,PO Box 15,Wallowa,OR,97885,Wallowa,93-1192718,"For project support to broaden engagement between the Nez Perce people, Wallowa County residents and organizations at the Wallowa Band Nez Perce Interpretive Center — including a newly built longhouse on traditional Nez Perce land",2017 ,"$65,000 ",one year,5418863101,SA040000 - Cultural Awareness,,,UN0000 - Program Development,Project Support,,,,,"2001722, 7023817, 7007708, 2085677, 2208736","PE060300, PG030000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Wallowa Band Nez Perce Trail Interpretive Center, Inc is to secure, develop and manage property in the Wallowa Valley to enrich relationships between Nez Perce descendants and contemporary inhabitants; to create a physical place to preserve and celebrate the customs and culture of the Nez Perce; to assemble and share understanding of the Wallowa Band Nez Perce history; and to tell the story of the Nez Perce Trail."
Warm Springs Community Action Team,,16050428,PO Box 1419,Warm Springs,OR,97761,Jefferson,16-1633303,"To support staff training and development to help promote community development within the Warm Springs Indian Reservation by empowering individuals and groups of people to realize their potential, become self-reliant, and make positive change for themselves, their families and their community",2017 ,"$98,696 ",one year,5415533148,SN020000 - Economic Development,SN000000 - Community And Economic Development,,UE0100 - Faculty And Staff Development,Capacity Building,,,,,"7023817, 2001712",PE060300,TA00 - Cash Grants,Grant,,Building Community,"The Warm Springs Community Action Team’s mission is to promote community development in Warm Springs by empowering individuals and groups of people to realize their potential, become self-reliant, and affect positive change for themselves, their families, and their community."
Western States Center,,16050279,P.O. Box 40305,Portland,OR,97240,Multnomah,93-0952137,"For the statewide, grassroots distribution of ""The Architecture of Internment,"" an exhibit exploring how ordinary Oregonians pushed for the internment of Japanese Americans 75 years ago",2017 ,"$75,000 ",one year,5032288866,SA040000 - Cultural Awareness,SR010000 - Individual Liberties,,UP0200 - Exhibitions,Project Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Building Community,"Our mission is to connect and build the power of community organizations to challenge and transform individuals, organizations and systems to achieve racial, gender and economic justice.

We envision our movement achieving a just society where we all flourish in sustainable, caring and connected communities."
Western States Center,,16120940,P.O. Box 40305,Portland,OR,97240,Multnomah,93-0952137,"To implement the Two Spirit Justice Program, which develops tribal leaders as effective advocates and ensures that equitable access and opportunities for Two Spirit/LGBTQ tribal community members",2017 ,"$85,000 ",one year,5032288866,SK020000 - Leadership Development,SR040600 - Lgbtq Rights,,UE0400 - Management And Leadership Development,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE060300, PC010000, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to connect and build the power of community organizations to challenge and transform individuals, organizations and systems to achieve racial, gender and economic justice.

We envision our movement achieving a just society where we all flourish in sustainable, caring and connected communities."
Western States Center,,16050333,P.O. Box 40305,Portland,OR,97240,Multnomah,93-0952137,"For operational support of this 29-year-old organization focused on supporting policy and culture change to achieve racial, gender and economic justice, advancing community organizing and strengthening solidarity between organizations",2017 ,"$175,000 ",two years,5032288866,SR020000 - Social Rights,SR010000 - Individual Liberties,,UA0000 - General Support,Operating Support,,,,,7007708,"PG030200, PE000000, PA030000, PC010000",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to connect and build the power of community organizations to challenge and transform individuals, organizations and systems to achieve racial, gender and economic justice.

We envision our movement achieving a just society where we all flourish in sustainable, caring and connected communities."
Willamette Valley Law Project,,16120895,300 Young St.,Woodburn,OR,97071,Marion,93-0687718,"To accelerate and broaden the Capaces Network’s Thinking Forward Leadership Development project, to align and assess its collective capacity, and to adapt it to meet community demand",2017 ,"$85,000 ",one year,5037811132,SK020000 - Leadership Development,SS090300 - Immigrant Services,,UN0300 - Program Expansion,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE050000, PG010000, PG010400",TA00 - Cash Grants,Grant,,Building Community,WVLP collaborate with and facilitates the development of community based organizations working in the Valley's Latino communities to improve working and living conditions.
